language,place_of_internship,company_name,person_in_charge,internship_title,cover_letter_text
german,"Weissach, Baden-Wurtemberg",Porsche AG,Recruiting-Team,Bewerbung als Praktikant - Absicherung Infotainment & Connect,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum „Absicherung Infotainment & Connect“ bei der Porsche AG in Weissach gelesen. Als Student der Technischen Informatik im DAAD-KOSPIE-Programm und derzeit im Austausch an der Universität Göttingen suche ich für einen Zeitraum ab März 2026 ein sechsmonatiges Pflichtpraktikum. Die beschriebene Tätigkeit, insbesondere die Weiterentwicklung der Testinfrastruktur sowie die Arbeit an Automatisierungs- und Simulationsprojekten mit modernen CI/CD-Prozessen, spricht mich außerordentlich an und entspricht genau meinen fachlichen Zielen.

Während meiner Tätigkeit als Werkstudent im DevOps-Bereich bei der Ford Motor Company habe ich bereits praktische Erfahrung in der Automatisierung und Qualitätssicherung von Softwareprozessen gesammelt. Ich entwickelte und implementierte Jenkins-Pipelines sowie GitHub Actions für die Echtzeit-Validierung von Code, um Entwicklern unmittelbares Feedback zu ermöglichen und die Stabilität der CI/CD-Prozesse zu erhöhen. Diese Erfahrung mit Automatisierungstools und der Optimierung von Testabläufen passt direkt zu den von Ihnen genannten Aufgaben.

Mein Studium mit Schwerpunkten in Embedded Systems, Robotik und Cloud Computing, ergänzt durch Projekte wie die Entwicklung einer Android-App zur Echtzeiterkennung von Gebärdensprache mit TensorFlow Lite oder die Arbeit mit Robotersoftware (NAOqi, MediaPipe), hat mir fundierte Kenntnisse in Python und im Umgang mit komplexen Softwaresystemen vermittelt. Zudem konnte ich in internationalen Teams – sowohl in Mexiko als auch in Deutschland – meine Team- und Kommunikationsfähigkeit unter Beweis stellen. Ich arbeite strukturiert, lerne neue Tech-Stacks schnell und besitze durch meinen Führerschein Klasse B die notwendige Mobilität.

Die Aussicht, in einem innovativen Umfeld wie Porsche an der Absicherung von Infotainment- und Connect-Systemen mitzuwirken und dabei moderne Methoden wie CI/CD und KI-gestützte Qualitätssicherung einzusetzen, motiviert mich sehr. Ich wäre sehr dankbar für die Gelegenheit, mein Wissen und meine Begeisterung für Automatisierung und Softwaretests in Ihr Team einzubringen."
english,"Hannver, Baja Sajonia, Alemania",Clarios,Recruiting-Team,Application for Internship - Intern/Working Student in Generative AI,"I am a Computer Systems Engineering student currently participating in the DAAD-KOSPIE exchange program and completing my academic exchange at the University of Göttingen. As part of this program, I am required to complete a mandatory six-month professional internship. I was very interested to read about your internship for an Intern/Working Student in Generative AI in Hanover, as it aligns perfectly with my technical focus and practical experience.

My academic background includes a strong focus on Machine Learning, Artificial Intelligence, and Robotics, which I studied during my exchange semester in Hof. I have applied this knowledge in several hands-on projects, such as developing an Android app for real-time sign language recognition using TensorFlow Lite and MediaPipe, and a chord recognition system with YOLOv8 and OpenCV. These projects required me to develop, train, and implement AI models, directly relating to your role activities of developing and implementing generative AI models for design optimization.

Furthermore, my professional experience as a DevOps Working Student at Ford Motor Company honed my Python skills and my ability to integrate complex systems and automate workflows. I developed tools using APIs and built CI/CD pipelines, which demonstrates my proficiency in creating efficient, automated processes—a skill crucial for collaborating with engineers to automate optimization workflows as outlined in the position.

I possess a solid understanding of simulation and hardware, having worked with tools like SolidWorks and designed an 8-bit computer on an FPGA using VHDL. This gives me a foundational appreciation for the engineering principles behind simulation tools like FEM. I am a quick learner with strong analytical abilities, eager to apply my knowledge of AI/ML libraries and my experience in intercultural, technical teams to the challenges of design optimization and multi-physics simulation.

I am highly motivated to undertake this six-month internship starting in March or April 2026. I am fully willing to relocate to Hanover and am confident that my combination of theoretical knowledge in AI, practical software development skills, and experience in automation would allow me to contribute effectively to your team."
english,"Hannover, Baja Sajonia, Alemania",Clarios,Recruiting-Team,Application for Internship - Intern/Working Student in Generative AI,"I am a Computer Systems Engineering student currently participating in the DAAD-KOSPIE exchange program and completing my academic exchange at the University of Göttingen. As part of this program, I am required to complete a mandatory six-month professional internship. I was very interested to read about your internship for an Intern/Working Student in Generative AI in Hanover, as it aligns perfectly with my technical focus and practical experience.

My academic background includes a strong focus on Machine Learning, Artificial Intelligence, and Robotics, which I studied during my exchange semester in Hof. I have applied this knowledge in several hands-on projects, such as developing an Android app for real-time sign language recognition using TensorFlow Lite and MediaPipe, and a chord recognition system with YOLOv8 and OpenCV. These projects required me to develop, train, and implement AI models, directly relating to your role activities of developing and implementing generative AI models for design optimization.

Furthermore, my professional experience as a DevOps Working Student at Ford Motor Company honed my Python skills and my ability to integrate complex systems and automate workflows. I developed tools using APIs and built CI/CD pipelines, which demonstrates my proficiency in creating efficient, automated processes—a skill crucial for collaborating with engineers to automate optimization workflows as outlined in the position.

I possess a solid understanding of simulation and hardware, having worked with tools like SolidWorks and designed an 8-bit computer on an FPGA using VHDL. This gives me a foundational appreciation for the engineering principles behind simulation tools like FEM. I am a quick learner with strong analytical abilities, eager to apply my knowledge of AI/ML libraries and my experience in intercultural, technical teams to the challenges of design optimization and multi-physics simulation.

I am highly motivated to undertake this six-month internship starting in March or April 2026. I am fully willing to relocate to Hanover and am confident that my combination of theoretical knowledge in AI, practical software development skills, and experience in automation would allow me to contribute effectively to your team."
english,"Hannover, Lower Saxony",Clarios,Recruiting-Team,Application for Internship - Intern/Working Student in Generative AI,"I am a Computer Systems Engineering student currently participating in the DAAD-KOSPIE exchange program and completing my academic exchange at the University of Göttingen. As part of this program, I am required to complete a mandatory six-month professional internship. I was very interested to read about your internship for an Intern/Working Student in Generative AI in Hanover, as it aligns perfectly with my technical focus and practical experience.

My academic background includes a strong focus on Machine Learning, Artificial Intelligence, and Robotics, which I studied during my exchange semester in Hof. I have applied this knowledge in several hands-on projects, such as developing an Android app for real-time sign language recognition using TensorFlow Lite and MediaPipe, and a chord recognition system with YOLOv8 and OpenCV. These projects required me to develop, train, and implement AI models, directly relating to your role activities of developing and implementing generative AI models for design optimization.

Furthermore, my professional experience as a DevOps Working Student at Ford Motor Company honed my Python skills and my ability to integrate complex systems and automate workflows. I developed tools using APIs and built CI/CD pipelines, which demonstrates my proficiency in creating efficient, automated processes—a skill crucial for collaborating with engineers to automate optimization workflows as outlined in the position.

I possess a solid understanding of simulation and hardware, having worked with tools like SolidWorks and designed an 8-bit computer on an FPGA using VHDL. This gives me a foundational appreciation for the engineering principles behind simulation tools like FEM. I am a quick learner with strong analytical abilities, eager to apply my knowledge of AI/ML libraries and my experience in intercultural, technical teams to the challenges of design optimization and multi-physics simulation.

I am highly motivated to undertake this six-month internship starting in March or April 2026. I am fully willing to relocate to Hanover and am confident that my combination of theoretical knowledge in AI, practical software development skills, and experience in automation would allow me to contribute effectively to your team."
german,"Eschborn, Hesse",EY,Recruiting-Team,Bewerbung als Praktikant - IT-Beratung/Prüfung Schwerpunkt Banken oder Versicherungen (Financial Services),"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum in der IT-Beratung/Prüfung mit Schwerpunkt Financial Services in Eschborn gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat, der derzeit sein Auslandssemester an der Georg-August-Universität Göttingen absolviert, suche ich für den Zeitraum ab März 2026 ein sechsmonatiges Pflichtpraktikum. Die Möglichkeit, von Beginn an in Projekt- und Prüfungstätigkeiten eingebunden zu werden und dabei meine technische Expertise in einem regulierten Umfeld wie dem der Finanzdienstleister einzubringen, motiviert mich außerordentlich.

Mein Studium mit Fokus auf Embedded Systems und meine praktische Erfahrung als Werkstudent im DevOps-Bereich bei der Ford Motor Company haben mir ein tiefes Verständnis für IT-Systeme, Softwareentwicklungsprozesse und die Bedeutung von stabilen, überprüfbaren Abläufen vermittelt. Dort implementierte ich Monitoring- und Automatisierungslösungen für CI/CD-Pipelines und entwickelte Tools zur Qualitätssicherung, was mir Einblicke in IT-Governance und Risikomanagement aus einer Entwicklerperspektive gab. Diese Erfahrung, gepaart mit meinen Kenntnissen in Bereichen wie Cloud Computing und Computer Networks aus meinem Austausch in Göttingen, bildet eine solide Grundlage für die Unterstützung bei IT-Prüfungen und der Beratung zu Themen wie Informationssicherheit oder IT-Betrieb.

Die Anforderungen der Stelle treffen genau auf mein Profil: Ich bringe erste Berufserfahrung in einem internationalen IT-Umfeld mit, verfüge über ein agiles Mindset und habe mich in interkulturellen Teams stets als teamorientierter und lösungsorientierter Quick Learner erwiesen. Meine Sprachkenntnisse in Deutsch (auf C1-Niveau, erworben durch ein Intensivkurs am Herder-Institut und mein Studium in Deutschland) und Englisch (TOEFL B2) ermöglichen mir eine effektive Kommunikation auf professionellem Niveau.

Ich bin überzeugt, dass meine technische Affinität, meine analytische Herangehensweise und meine Bereitschaft, schnell Verantwortung zu übernehmen, eine wertvolle Bereicherung für Ihr Team darstellen können. Ein Umzug nach Eschborn für die Dauer des Praktikums ist für mich selbstverständlich."
german,"Munich, Bayern",BMW Group,Recruiting-Team,Bewerbung als Praktikant - Praktikant Künstliche Intelligenz Fahrzeugfunktionen,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum im Bereich Künstliche Intelligenz Fahrzeugfunktionen bei der BMW Group in München gelesen. Als DAAD-KOSPIE-Stipendiat und Student der Technischen Informatik mit Schwerpunkt auf KI und Robotik suche ich für den Zeitraum ab März 2026 ein sechsmonatiges Pflichtpraktikum. Die Möglichkeit, an der Weiterentwicklung innovativer Fahrzeugfunktionen mitzuwirken, motiviert mich außerordentlich.

Mein Studium an der ESCOM in Mexiko und meine Austauschsemester an deutschen Hochschulen haben einen starken Fokus auf Künstliche Intelligenz, Maschinelles Lernen und Robotik gelegt. In Projekten wie „NAOimitationv2“ für die Bewegungsimitation eines Roboters oder „MLChords“ zur Akkorderkennung mit YOLOv8 habe ich praktische Erfahrungen in der Entwicklung und Anwendung von ML-Modellen gesammelt, insbesondere mit Python, OpenCV und Computer-Vision-Bibliotheken. Diese Projekte haben mir gezeigt, wie wichtig die Integration verschiedener Datenquellen und Schnittstellen ist – eine Kernaufgabe, die auch in Ihrer Stellenbeschreibung genannt wird.

In meiner Tätigkeit als Werkstudent im DevOps-Bereich bei Ford Motor Company habe ich zudem wertvolle Erfahrungen in der Automatisierung von Prozessen, der Arbeit mit CI/CD-Pipelines und der Anbindung von Tools über APIs gesammelt. Dies hat mein Verständnis für stabile Softwareentwicklung und die effiziente Verknüpfung von Systemen geschärft. Ich bin es gewohnt, mich schnell in neue Tech-Stacks einzuarbeiten und bringe die von Ihnen geforderte Motivation mit, eigene Ideen und experimentelle Ansätze einzubringen.

Mit meinen fließenden Deutsch- und Englischkenntnissen sowie meiner Erfahrung in interkulturellen Teams kann ich mich von Beginn an effektiv in Ihr Team einbringen. Ein Umzug nach München für die Dauer des Praktikums ist für mich selbstverständlich. Ich freue mich sehr auf die Möglichkeit, mein Wissen in Machine Learning und meine Begeisterung für innovative Technologien in Ihr Team einzubringen."
german,"Munich, Bayern",BMW Group,Recruiting-Team,Bewerbung als Praktikant - Praktikant Künstliche Intelligenz Fahrzeugfunktionen,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum im Bereich Künstliche Intelligenz für Fahrzeugfunktionen in München gelesen. Die Möglichkeit, an der Schnittstelle von innovativen KI-Modellen und konkreten Fahrzeugsystemen zu arbeiten, finde ich außerordentlich spannend. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum ab März 2026 ein sechsmonatiges Pflichtpraktikum, um meine theoretischen Kenntnisse und praktischen Erfahrungen in der Entwicklung von KI-Lösungen einzubringen.

Mein Studium mit den Schwerpunkten Robotik, Maschinelles Lernen und Künstliche Intelligenz, das ich unter anderem an der Hochschule Hof vertieft habe, bildet eine solide theoretische Grundlage. Praktisch konnte ich diese bereits in Projekten wie „MLChords“ zur Akkorderkennung mit YOLOv8 und OpenCV sowie in der Entwicklung einer Android-App zur Echtzeiterkennung von Gebärdensprache mit TensorFlow Lite anwenden. Diese Projekte haben mir gezeigt, wie wichtig die Verarbeitung realer Daten und die Anbindung an Benutzerschnittstellen sind – genau die Aspekte, die Sie in Ihrer Tätigkeitsbeschreibung hervorheben.

Meine Erfahrung als Werkstudent im DevOps-Bereich bei Ford hat mir zudem ein tiefes Verständnis für professionelle Softwareentwicklungsprozesse, die Arbeit mit CI/CD-Pipelines und die Integration verschiedener Schnittstellen vermittelt. Ich bin es gewohnt, mich schnell in neue Tech-Stacks einzuarbeiten und eigenständig Lösungen zu entwickeln, beispielsweise durch die Automatisierung von Feedback-Schleifen für Entwicklerteams. Die von Ihnen genannten Anforderungen, wie der Umgang mit Datenbanken, die Motivation, eigene Ideen einzubringen, und die Arbeit mit Live-Daten, treffen somit genau auf meine Fähigkeiten und meine Arbeitsweise zu.

Ich spreche fließend Deutsch (auf B2/C1-Niveau) und Englisch und habe bereits in internationalen Teams in Mexiko und Deutschland zusammengearbeitet. Ein Umzug nach München für die Dauer des Praktikums ist für mich selbstverständlich. Ich bin überzeugt, dass ich mit meiner technischen Affinität, meiner Lernbereitschaft und meiner praktischen Projekterfahrung einen wertvollen Beitrag zu Ihrem Team leisten kann."
german,"Bremen, ",BLACKFIELD AI,Recruiting-Team,Bewerbung als Praktikant - AI Knowledge Team - Technology & Innovation Associate,"ich habe Ihre Ausschreibung für das Praktikum im AI Knowledge Team in Bremen gelesen und bin sehr angetan von der Möglichkeit, systematisch an der Schnittstelle von KI-Forschung und praktischer Anwendung mitzuwirken. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum ab sofort ein sechsmonatiges Praktikum, um meine analytischen Fähigkeiten und mein Technologieverständnis in einem innovativen Umfeld einzubringen.

Mein Studium mit den Schwerpunkten Embedded Systems und DevOps hat mir ein fundiertes technisches Grundverständnis und eine schnelle Auffassungsgabe für neue Technologien vermittelt. Dies befähigt mich ideal für die systematische Recherche und Bewertung aktueller KI-Entwicklungen, Modelle und Tools, wie sie in Ihrer Ausschreibung beschrieben sind. In meiner Rolle als Werkstudent bei Ford habe ich bereits Erfahrung damit gesammelt, komplexe technische Prozesse zu analysieren und die Erkenntnisse für Entwicklerteams verständlich aufzubereiten – eine Fähigkeit, die ich gerne für die Erstellung von Präsentationen, One-Pagern und internen Knowledge-Updates bei BLACKFIELD AI einsetzen möchte.

Mein starkes Interesse an Künstlicher Intelligenz und Technologietrends ist nicht nur theoretisch. Durch Projekte wie „MLChords“, bei dem ich YOLOv8 für die Akkorderkennung einsetzte, oder meine Publikation im Bereich Applied Robotics habe ich praktische Erfahrungen mit ML-Frameworks und Computer Vision gesammelt. Diese Projekte haben mir gezeigt, wie wichtig es ist, Forschungsergebnisse in eine praxisnahe Use-Case-Denke zu übertragen, was eine zentrale Aufgabe der engen Zusammenarbeit mit Ihrem Consulting-Team darstellt.

Ich arbeite strukturiert, eigenständig und mit dem Anspruch, Dinge wirklich zu durchdringen. Meine Erfahrungen in internationalen und interkulturellen Teams, unter anderem an der HAW Hof und der Universität Göttingen, haben meine Kommunikationsfähigkeiten gestärkt. Ich spreche fließend Deutsch (auf B2/C1-Niveau) und Englisch (TOEFL B2), was eine reibungslose Zusammenarbeit in beiden Sprachen gewährleistet. Ein Umzug nach Bremen für die Dauer des Praktikums ist für mich selbstverständlich.

Ich bin überzeugt, dass ich mit meiner analytischen Herangehensweise, meiner Technologieaffinität und meiner Lernbereitschaft einen wertvollen Beitrag zu Ihrem AI Knowledge Team leisten kann."
english,"Berlin, Alemania",Reonic GmbH,Udo Sill,Application for Internship - Founders Associate Intern - Special Projects,"I am a Computer Systems Engineering student currently participating in the DAAD-KOSPIE exchange program and completing my academic exchange at the University of Göttingen. As part of this program, I am required to complete a mandatory professional internship, and I am very interested in the Founders Associate Intern - Special Projects position at Reonic GmbH. The opportunity to collaborate directly with co-founders on new digital SaaS products and to work at the intersection of technology, operations, and business strategy strongly aligns with my career aspirations and practical experience.

My academic background at ESCOM-IPN and my exchange semesters in Germany have provided me with a robust foundation in programming, cloud computing, and data analysis, complemented by a strong entrepreneurial focus fostered through the KOSPIE scholarship. I am fluent in English and possess business-fluent German (C1 level), which ensures I can communicate effectively in an international startup environment. My hands-on approach is demonstrated through my work as a DevOps Working Student at Ford Motor Company, where I proactively implemented monitoring tools and automated CI/CD pipelines using Jenkins and GitHub Actions to improve workflow efficiency and developer feedback. This experience required gathering requirements, analyzing system performance, and executing solutions rapidly.

I am particularly drawn to the role's activities, such as building dashboards, analyzing product usage data to uncover trends, and helping improve cross-team alignment. I have practical experience with data visualization tools like Tableau and am proficient in Python and SQL for data analysis. Furthermore, my project work, including developing an Android app for real-time sign language recognition and contributing to a published robotics paper, has honed my ability to work on innovative, cross-functional projects from conception to execution. I am a structured thinker with a keen eye for detail, eager to run numbers and execute tasks quickly. I am fully available for a 4-6 month internship in Berlin and am enthusiastic about investing the necessary time and effort to contribute meaningfully to your team's special projects."
english,"Berlin, Alemania",Reonic GmbH,Udo Sill,Application for Internship - Founders Associate Intern - Special Projects,"I am a Computer Systems Engineering student currently participating in the DAAD-KOSPIE exchange program and completing my academic exchange at the University of Göttingen. As part of this program, I am required to complete a mandatory professional internship, and I am very interested in the Founders Associate Intern - Special Projects position at Reonic GmbH. The opportunity to collaborate directly with co-founders on new digital SaaS products and to work at the intersection of technology, operations, and business strategy strongly aligns with my career aspirations and practical experience.

My academic background at ESCOM-IPN and my exchange semesters in Germany have provided me with a robust foundation in programming, cloud computing, and data analysis, complemented by a strong entrepreneurial focus fostered through the KOSPIE scholarship. I am fluent in English and possess business-fluent German (C1 level), which ensures I can communicate effectively in an international startup environment. My hands-on approach is demonstrated through my work as a DevOps Working Student at Ford Motor Company, where I proactively implemented monitoring tools and automated CI/CD pipelines using Jenkins and GitHub Actions to improve workflow efficiency and developer feedback. This experience required gathering requirements, analyzing system performance, and executing solutions rapidly.

I am particularly drawn to the role's activities, such as building dashboards, analyzing product usage data to uncover trends, and helping improve cross-team alignment. I have practical experience with data visualization tools like Tableau and am proficient in Python and SQL for data analysis. Furthermore, my project work, including developing an Android app for real-time sign language recognition and contributing to a published robotics paper, has honed my ability to work on innovative, cross-functional projects from conception to execution. I am a structured thinker with a keen eye for detail, eager to run numbers and execute tasks quickly. I am fully available for a 4-6 month internship in Berlin and am enthusiastic about investing the necessary time and effort to contribute meaningfully to your team's special projects."
